TIME,CH3,CH3 Peak Detect
-3.12480e-05,0.06,0.04
-3.12400e-05,0.02,0.02
-3.12320e-05,0.04,0.06
-3.12240e-05,0.04,0.02
-3.12160e-05,0.04,0.06
-3.12080e-05,0.06,-3.33786e-08
-3.12000e-05,0.04,0.04
-3.11920e-05,0.04,0.02
-3.11840e-05,0.04,0.06
-3.11760e-05,0.06,0.02
-3.11680e-05,0.04,0.06
-3.11600e-05,0.06,0.02
-3.11520e-05,0.02,0.06
-3.11440e-05,0.04,-3.33786e-08
-3.11360e-05,0.04,0.06
-3.11280e-05,0.06,0.02
-3.11200e-05,0.04,0.06
-3.11120e-05,0.04,0.02
-3.11040e-05,0.04,0.06
-3.10960e-05,0.06,0.02
-3.10880e-05,0.04,0.06
-3.10800e-05,0.04,0.02
-3.10720e-05,0.04,0.06
-3.10640e-05,0.04,0.02
-3.10560e-05,0.02,0.06
-3.10480e-05,0.04,0.02
-3.10400e-05,0.04,0.04
-3.10320e-05,0.04,-3.33786e-08
-3.10240e-05,0.04,0.06
-3.10160e-05,0.04,0.02
-3.10080e-05,0.02,0.04
-3.10000e-05,0.04,0.02
-3.09920e-05,0.04,0.06
-3.09840e-05,0.04,-3.33786e-08
-3.09760e-05,0.06,0.06
-3.09680e-05,0.04,0.02
-3.09600e-05,0.04,0.06
-3.09520e-05,0.04,0.04
-3.09440e-05,0.02,0.04
-3.09360e-05,0.04,-3.33786e-08
-3.09280e-05,0.06,0.06
-3.09200e-05,0.06,0.02
-3.09120e-05,0.04,0.06
-3.09040e-05,0.04,0.02
-3.08960e-05,0.04,0.06
-3.08880e-05,0.06,0.02
-3.08800e-05,0.04,0.04
-3.08720e-05,0.04,0.02
-3.08640e-05,0.06,0.06
-3.08560e-05,0.06,0.02
-3.08480e-05,0.04,0.06
-3.08400e-05,0.04,0.02
-3.08320e-05,0.04,0.06
-3.08240e-05,0.04,0.04
-3.08160e-05,0.06,0.06
-3.08080e-05,0.06,0.02
-3.08000e-05,0.04,0.06
-3.07920e-05,0.04,0.02
-3.07840e-05,0.04,0.06
-3.07760e-05,0.02,0.02
-3.07680e-05,0.04,0.06
-3.07600e-05,0.04,0.02
-3.07520e-05,0.04,0.04
-3.07440e-05,0.04,0.02
-3.07360e-05,0.06,0.06
-3.07280e-05,0.04,0.02
-3.07200e-05,0.04,0.06
-3.07120e-05,0.04,0.02
-3.07040e-05,0.04,0.06
-3.06960e-05,0.04,0.02
-3.06880e-05,0.06,0.06
-3.06800e-05,0.06,0.02
-3.06720e-05,0.02,0.06
-3.06640e-05,0.06,0.02
-3.06560e-05,0.04,0.06
-3.06480e-05,0.04,0.02
-3.06400e-05,0.04,0.06
-3.06320e-05,0.04,0.02
-3.06240e-05,0.06,0.06
-3.06160e-05,0.04,0.02
-3.06080e-05,0.06,0.06
-3.06000e-05,0.06,0.02
-3.05920e-05,0.04,0.06
-3.05840e-05,0.04,0.02
-3.05760e-05,0.04,0.06
-3.05680e-05,0.04,0.04
-3.05600e-05,0.04,0.06
-3.05520e-05,0.04,0.02
-3.05440e-05,0.06,0.06
-3.05360e-05,0.04,0.02
-3.05280e-05,0.04,0.06
-3.05200e-05,0.04,0.02
-3.05120e-05,0.04,0.06
-3.05040e-05,0.06,0.02
-3.04960e-05,0.02,0.06
-3.04880e-05,0.04,0.02
-3.04800e-05,0.02,0.06
-3.04720e-05,0.06,0.02
-3.04640e-05,0.02,0.06
-3.04560e-05,0.04,0.02
-3.04480e-05,0.04,0.06
-3.04400e-05,0.04,0.02
-3.04320e-05,0.04,0.06
-3.04240e-05,0.06,0.02
-3.04160e-05,0.04,0.04
-3.04080e-05,0.04,0.02
-3.04000e-05,0.06,0.06
-3.03920e-05,0.04,0.02
-3.03840e-05,0.04,0.06
-3.03760e-05,0.04,0.02
-3.03680e-05,0.04,0.06
-3.03600e-05,0.04,0.02
-3.03520e-05,0.02,0.06
-3.03440e-05,0.04,0.02
-3.03360e-05,0.04,0.06
-3.03280e-05,0.06,0.02
-3.03200e-05,0.04,0.04
-3.03120e-05,0.04,0.02
-3.03040e-05,0.04,0.06
-3.02960e-05,0.04,0.02
-3.02880e-05,0.04,0.06
-3.02800e-05,0.04,0.02
-3.02720e-05,0.04,0.06
-3.02640e-05,0.04,0.02
-3.02560e-05,0.04,0.06
-3.02480e-05,0.04,0.04
-3.02400e-05,0.04,0.06
-3.02320e-05,0.04,0.02
-3.02240e-05,0.02,0.06
-3.02160e-05,0.04,0.02
-3.02080e-05,0.04,0.06
-3.02000e-05,0.02,0.02
-3.01920e-05,0.04,0.06
-3.01840e-05,0.04,-3.33786e-08
-3.01760e-05,0.04,0.06
-3.01680e-05,0.04,0.02
-3.01600e-05,0.04,0.04
-3.01520e-05,0.04,0.02
-3.01440e-05,0.04,0.06
-3.01360e-05,0.04,0.02
-3.01280e-05,0.04,0.04
-3.01200e-05,0.04,0.02
-3.01120e-05,0.04,0.06
-3.01040e-05,0.04,0.02
-3.00960e-05,0.04,0.04
-3.00880e-05,0.04,0.02
-3.00800e-05,0.06,0.08
-3.00720e-05,0.04,0.02
-3.00640e-05,0.06,0.08
-3.00560e-05,0.04,0.02
-3.00480e-05,0.04,0.06
-3.00400e-05,0.04,0.02
-3.00320e-05,0.02,0.04
